"FLOORS","Level","lnPrice","lnInc","Top25","AboveMed"
16,4,13.3374763699232,10.155529493893,0,0
2,1,12.043559598368,10.8397377621499,0,0
2,3,12.8739045822051,10.4627604245397,0,0
2,3,11.5129354649202,11.0819579164496,0,0
4,4,11.5129354649202,10.2390665331801,0,0
3,1,10.5966597327836,9.74102744483773,0,0
5,4,11.7752974217158,10.163888352206,0,0
3,1,12.043559598368,7.60140233458373,0,0
4,4,11.6952553550628,9.86894786626138,0,0
2,1,11.1562648066437,10.043292972227,0,0
2,3,12.1007176854125,10.8587682017015,0,0
3,1,11.4075760603618,10.6210346199196,0,0
3,2,11.6082447356423,10.2395311258658,0,0
6,2,12.9715428132484,12.657899574943,1,1
2,1,11.9183972397228,11.5898957653227,1,1
2,1,9.90353755128617,6.89365635460264,0,0
4,4,11.7752974217158,8.10198073185319,0,0
2,1,11.1562648066437,10.3413553117518,0,0
2,1,10.5966597327836,9.54688403461792,0,0
4,3,11.1562648066437,10.8192781593686,0,1
2,3,11.1562648066437,11.4072871329472,0,1
3,4,10.8197982842103,9.61413742298365,0,0
3,1,11.1562648066437,10.9148702585913,0,0
4,2,13.2533933941952,12.9334231655566,1,1
4,3,11.9183972397228,9.46506010672514,0,0
3,3,11.4075760603618,9.20913965139966,0,0
2,3,11.5129354649202,10.9328926610405,0,0
5,4,12.6115410869661,11.0976069713095,0,0
3,3,11.4075760603618,10.3735224312936,0,0
3,3,11.4075760603618,10.490940828537,0,0
2,1,11.2897944135779,10.6572828840475,0,0
2,4,12.5425484535736,12.205947637717,1,1
2,3,11.5129354649202,9.58925614485081,0,0
5,3,12.6115410869661,9.99369382042228,0,0
7,3,12.5425484535736,11.7035540890075,1,1
3,2,11.002116507732,10.1245890202161,0,0
3,1,10.3089859934221,9.63567346472181,0,0
2,1,11.002116507732,9.7291936874294,0,0
3,2,9.90353755128617,11.440225731552,0,1
2,3,14.093143052138,11.2997446206702,0,1
2,1,10.5966597327836,10.1266711030504,0,0
4,2,12.5061809416774,8.98406692765304,0,0
2,3,11.4075760603618,12.0852318145792,1,1
2,1,11.1562648066437,9.19532825185568,0,0
2,1,10.3089859934221,10.7579241570616,0,0
2,1,11.2897944135779,11.0509058782636,0,0
2,1,11.9829353441964,10.0131039988595,0,0
3,1,11.9183972397228,11.4400859187933,0,1
3,2,10.3089859934221,10.8192781593686,0,0
3,3,9.21044036697652,9.86136262623546,0,0
3,2,11.1562648066437,9.81460169252769,0,0
2,3,10.8197982842103,11.0104978126553,0,0
2,3,11.9183972397228,8.98732181285012,0,0
2,4,12.4292201968364,11.512675433715,1,0
2,3,11.5129354649202,11.0014663072306,0,1
6,3,11.1562648066437,11.8632231171422,1,1
3,3,12.1547846142867,11.3616606171214,0,0
3,1,11.2897944135779,11.6867779266728,1,1
2,3,11.7752974217158,12.2226150621495,1,1
3,1,12.7068509637411,11.0018998212016,0,0
1,1,11.6952553550628,10.9503678541139,0,0
2,1,11.4075760603618,9.63958710874915,0,0
2,3,11.7752974217158,11.775274344704,1,1
3,3,11.6952553550628,10.0858507751287,0,0
2,3,12.4292201968364,11.5402292994976,1,1
2,3,11.1562648066437,10.2026657901263,0,0
7,2,11.4075760603618,11.6952553550628,1,1
2,3,11.1562648066437,10.4617023595559,0,0
3,1,11.4075760603618,10.7576475289438,0,0
12,3,12.7656912906044,11.5128054577697,1,1
2,1,9.90353755128617,8.29429960885724,0,0
7,3,11.1562648066437,10.7993306491412,0,0
3,4,11.8494048444231,10.6115479758284,0,0
2,4,11.9183972397228,10.3731161114518,0,0
2,3,11.2897944135779,10.8190380104751,0,0
4,2,12.899222326087,11.9182238925213,1,1
9,1,11.5129354649202,12.044006554662,1,1
2,3,11.2897944135779,11.2250833797171,0,1
2,3,11.1562648066437,9.39274525863144,0,0
4,1,10.3089859934221,11.1702661276545,0,0
2,3,12.3013873707787,12.7777186366591,1,1
2,3,12.1547846142867,11.0358730513112,0,0
20,2,12.4292201968364,11.1392642099056,0,1
15,3,12.8479291632781,10.6596330061604,0,0
6,3,11.6082447356423,11.4087753276201,0,1
4,1,12.2060776455177,4.61512051684126,0,0
2,1,12.043559598368,8.51759311143756,0,0
